Photodiode,AsyncPulse,BonsaiTime,ArduinoTime
12,0,60198356.8256,4706
13,0,60198357.9008,4706
7,0,60198358.8736,4706
5,0,60198359.936,4706
6,0,60198360.9216,4706
8,0,60198361.9328,4706
11,0,60198363.072,4706
9,0,60198364.0192,4716
9,0,60198365.0688,4716
6,0,60198366.1184,4716
12,0,60198367.232,4716
12,0,60198368.2304,4716
7,0,60198369.2288,4716
10,0,60198370.3552,4716
9,0,60198371.3024,4716
13,0,60198372.4032,4716
11,0,60198373.4784,4716
12,0,60198374.528,4726
12,0,60198375.6288,4726
13,0,60198376.6784,4726
13,0,60198377.7536,4726
11,0,60198378.8032,4726
10,0,60198379.8784,4726
7,0,60198380.8512,4726
8,0,60198381.8752,4726
9,0,60198382.9248,4726
11,0,60198384.0128,4736
11,0,60198385.1008,4736
11,0,60198386.2656,4736
10,0,60198387.2128,4736
10,0,60198388.3008,4736
8,0,60198389.2992,4736
13,0,60198390.3488,4736
10,0,60198391.4368,4736
12,0,60198392.4736,4736
12,0,60198393.5744,4746
7,0,60198394.5344,4746
8,0,60198395.5584,4746
7,0,60198396.5824,4746
9,0,60198397.5808,4746
10,0,60198398.7072,4746
14,0,60198399.7568,4746
12,0,60198400.832,4746
12,0,60198401.8944,4746
12,0,60198402.9568,4746
13,0,60198404.0448,4756
8,0,60198405.0048,4756
7,0,60198406.0416,4756
10,0,60198407.1552,4756
10,0,60198408.2048,4756
12,0,60198409.3056,4756
8,0,60198410.304,4756
5,0,60198411.3024,4756
8,0,60198412.3136,4756
7,0,60198413.312,4756
9,0,60198414.336,4766
11,0,60198415.4368,4766
14,0,60198416.512,4766
8,0,60198417.472,4766
5,0,60198418.5088,4766
11,0,60198419.6096,4766
12,0,60198420.6848,4766
13,0,60198421.7344,4766
11,0,60198422.8096,4766
11,0,60198423.8848,4766
6,0,60198424.8448,4776
6,0,60198425.8816,4776
12,0,60198426.9824,4776
11,0,60198428.032,4776
14,0,60198429.1456,4776
11,0,60198430.208,4776
13,0,60198431.2576,4776
12,0,60198432.3584,4776
13,0,60198433.4336,4786
11,0,60198434.432,4786
8,0,60198435.4176,4786
12,0,60198436.544,4786
14,0,60198437.5936,4786
12,0,60198438.6688,4786
5,0,60198439.6416,4786
6,0,60198440.6656,4786
8,0,60198441.6896,4786
8,0,60198442.7136,4786
10,0,60198443.8272,4796
12,0,60198444.8896,4796
11,0,60198445.9392,4796
9,0,60198446.912,4796
5,0,60198447.936,4796
6,0,60198448.96,4796
7,0,60198449.984,4796
8,0,60198451.008,4796
8,0,60198452.0448,4796
9,0,60198453.056,4796
9,0,60198454.1184,4806
11,0,60198455.2192,4806
10,0,60198456.3072,4806
14,0,60198457.3568,4806
9,0,60198458.3168,4806
7,0,60198459.3152,4806
8,0,60198460.3392,4806
8,0,60198461.3632,4806
11,0,60198462.464,4806
12,0,60198463.5648,4806
12,0,60198464.5888,4816
11,0,60198465.6768,4816
9,0,60198466.6368,4816
15,0,60198467.7632,4816
11,0,60198468.8128,4816
10,0,60198469.9008,4816
7,0,60198470.8608,4816
10,0,60198471.9744,4816
10,0,60198473.1264,4816
12,0,60198474.1632,4826
13,0,60198475.2128,4826
12,0,60198476.2752,4826
6,0,60198477.248,4826
6,0,60198478.2592,4826
9,0,60198479.3088,4826
12,0,60198480.3968,4826
12,0,60198481.4464,4826
11,0,60198482.4832,4826
9,0,60198483.4944,4836
12,0,60198484.5952,4836
15,0,60198485.6448,4836
13,0,60198486.7328,4836
5,0,60198487.6928,4836
6,0,60198488.7168,4836
8,0,60198489.7408,4836
9,0,60198490.7648,4836
11,0,60198491.8656,4836
13,0,60198492.9664,4836
12,0,60198494.0032,4846
9,0,60198494.9632,4846
5,0,60198495.9872,4846
5,0,60198497.024,4846
9,0,60198498.048,4846
11,0,60198499.2128,4846
11,0,60198500.224,4846
6,0,60198501.2224,4846
8,0,60198502.2208,4846
13,0,60198503.3728,4846
12,0,60198504.3968,4856
13,0,60198505.4464,4856
12,0,60198506.5216,4856
13,0,60198507.5968,4856
11,0,60198508.672,4856
12,0,60198509.7216,4856
7,0,60198510.6944,4856
11,0,60198511.8208,4856
12,0,60198512.9216,4856
11,0,60198513.9456,4866
8,0,60198514.9184,4866
10,0,60198516.032,4866
6,0,60198517.0176,4866
10,0,60198518.1696,4866
7,0,60198519.1168,4866
11,0,60198520.2176,4866
13,0,60198521.3184,4866
14,0,60198522.368,4866
10,0,60198523.4048,4876
9,0,60198524.3648,4876
13,0,60198525.4784,4876
11,0,60198526.5408,4876
13,0,60198527.616,4876
9,0,60198528.5888,4876
7,0,60198529.6128,4876
7,0,60198530.6496,4876
10,0,60198531.7376,4876
9,0,60198532.7232,4876
13,0,60198533.824,4886
10,0,60198534.8992,4886
12,0,60198535.9872,4886
12,0,60198537.024,4886
12,0,60198538.1248,4886
6,0,60198539.072,4886
7,0,60198540.1216,4886
8,0,60198541.12,4886
10,0,60198542.272,4886
11,0,60198543.3344,4886
13,0,60198544.4352,4896
12,0,60198545.4208,4896
9,0,60198546.3936,4896
5,0,60198547.4048,4896
14,0,60198548.5696,4896
13,0,60198549.6704,4896
6,0,60198550.5664,4896
12,0,60198551.68,4896
12,0,60198552.7552,4896
12,0,60198553.8432,4896
13,0,60198554.88,4907
12,0,60198555.9552,4907
13,0,60198556.992,4907
8,0,60198557.9904,4907
10,0,60198559.1168,4907
11,0,60198560.1792,4907
