Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
8654,39385,41259,60136097.1392,2483
8658,39385,41269,60136107.2896,2484
8663,39385,41279,60136117.5296,2484
8668,39385,41289,60136127.7184,2485
8673,39385,41299,60136137.8944,2486
8678,39385,41309,60136147.1488,2486
8683,39385,41319,60136157.2864,2487
8688,39385,41329,60136167.4624,2487
8693,39385,41339,60136177.7792,2488
8698,39385,41349,60136186.8672,2489
8703,39385,41359,60136197.2096,2489
8709,39385,41369,60136207.5008,2490
8715,39385,41379,60136217.5104,2490
8720,39385,41389,60136226.7008,2491
8726,39385,41399,60136236.9152,2492
8731,39385,41409,60136247.1936,2492
8737,39385,41419,60136257.3824,2493
8743,39385,41430,60136267.5712,2493
8749,39385,41440,60136277.8368,2494
8755,39385,41450,60136287.9744,2495
8761,39385,41460,60136298.2784,2495
8767,39385,41470,60136308.4416,2496
8773,39385,41480,60136317.6448,2496
8779,39385,41490,60136327.808,2497
8785,39385,41500,60136338.0096,2498
8791,39385,41510,60136348.3392,2498
8797,39385,41520,60136357.4784,2499
8802,39385,41530,60136367.6416,2499
8808,39385,41540,60136377.856,2500
8814,39385,41550,60136388.1472,2501
8820,39385,41560,60136397.2352,2501
8826,39385,41570,60136407.5904,2502
8831,39385,41580,60136417.7024,2503
8837,39385,41590,60136428.096,2503
8842,39385,41600,60136437.1712,2504
8848,39385,41610,60136447.424,2504
8853,39385,41620,60136457.5488,2505
8858,39385,41630,60136467.7504,2506
8863,39385,41640,60136477.8624,2506
8868,39385,41650,60136487.2064,2507
8873,39385,41660,60136497.344,2507
8878,39385,41670,60136507.5968,2508
8882,39385,41680,60136517.76,2509
8886,39385,41690,60136527.0144,2509
8891,39385,41700,60136537.2672,2510
8895,39385,41710,60136547.3792,2510
8899,39385,41720,60136557.6832,2511
8903,39385,41730,60136566.7712,2512
8908,39385,41740,60136576.9472,2512
8912,39385,41750,60136587.2512,2513
8916,39385,41760,60136597.4528,2513
8921,39385,41771,60136607.6416,2514
8925,39385,41781,60136617.8816,2515
8929,39385,41791,60136628.0448,2515
8933,39385,41801,60136638.1568,2516
8937,39385,41811,60136648.576,2516
8941,39385,41821,60136657.6768,2517
8945,39385,41831,60136667.8528,2518
8949,39385,41841,60136678.0416,2518
8954,39385,41851,60136688.2688,2519
8957,39385,41861,60136697.4848,2519
8961,39385,41871,60136707.7248,2520
8965,39385,41881,60136717.888,2521
8970,39385,41891,60136728,2521
8973,39385,41901,60136737.2544,2522
8977,39385,41911,60136747.584,2522
8981,39385,41921,60136757.7088,2523
8986,39385,41931,60136767.9104,2524
8990,39385,41942,60136778.1632,2524
8994,39385,41952,60136788.3648,2525
8998,39385,41962,60136798.6176,2525
9003,39385,41972,60136808.768,2526
9007,39385,41982,60136819.0208,2527
9011,39385,41992,60136828.2368,2527
9015,39385,42002,60136838.4,2528
9020,39385,42012,60136848.704,2529
9024,39385,42022,60136859.2768,2529
9028,39385,42032,60136867.9552,2530
