Photodiode,AsyncPulse,BonsaiTime
79,1,49958969.5616
82,1,49958970.6112
58,1,49958971.7632
64,1,49958972.7104
74,1,49958973.76
71,1,49958974.8352
70,1,49958975.8848
82,1,49958976.9728
66,1,49958978.0224
70,1,49958979.0976
83,1,49958980.16
63,1,49958981.2224
62,1,49958982.272
73,1,49958983.36
70,1,49958984.448
67,1,49958985.5104
80,1,49958986.56
81,1,49958987.6608
84,1,49958988.7104
80,1,49958989.76
70,1,49958990.8224
76,1,49958991.8848
85,1,49958992.9472
64,1,49958994.0096
76,1,49958995.072
83,1,49958996.1472
66,1,49958997.2224
61,1,49958998.2976
68,1,49958999.3344
73,1,49959000.5376
63,1,49959001.5104
68,1,49959002.6112
66,1,49959003.6736
60,1,49959004.7104
74,1,49959005.7472
82,1,49959006.7968
68,1,49959007.8592
65,1,49959008.9344
78,1,49959009.9968
67,1,49959011.0464
71,1,49959012.1472
73,0,49959013.1968
69,0,49959014.2592
73,0,49959015.3344
82,0,49959016.3968
81,0,49959017.5104
73,0,49959018.5728
70,0,49959019.6096
80,0,49959020.7104
72,0,49959021.7472
70,0,49959023.0528
79,0,49959023.8464
83,0,49959024.9216
69,0,49959026.1248
79,0,49959027.0464
80,0,49959028.096
68,0,49959029.312
68,0,49959030.2464
72,0,49959031.3216
69,0,49959032.3712
74,0,49959033.4592
80,0,49959034.5216
68,0,49959035.6096
64,0,49959036.6592
70,0,49959037.7088
75,0,49959038.7712
74,0,49959039.8336
60,0,49959040.9216
66,0,49959041.9968
68,0,49959043.0464
81,0,49959044.1088
67,0,49959045.1968
75,0,49959046.2336
79,0,49959047.296
66,0,49959048.3712
79,0,49959049.4592
81,0,49959050.5344
76,0,49959051.5712
75,0,49959052.672
58,0,49959053.7088
81,0,49959054.7456
71,0,49959055.8208
68,0,49959056.8704
69,0,49959057.9456
67,0,49959059.008
70,0,49959060.0832
78,0,49959061.1456
69,0,49959062.208
62,0,49959063.296
60,0,49959064.3456
58,0,49959065.472
63,0,49959066.5216
64,0,49959067.5712
81,0,49959068.672
82,0,49959069.7088
59,0,49959070.7456
74,0,49959071.8464
83,0,49959072.8832
66,0,49959073.9456
83,0,49959075.008
76,0,49959076.0704
68,0,49959077.1456
82,0,49959078.1824
82,0,49959079.2704
78,0,49959080.3328
75,0,49959081.3952
67,0,49959082.4704
82,0,49959083.584
72,0,49959084.6208
68,0,49959085.6832
73,0,49959086.72
75,0,49959087.7824
68,0,49959088.8448
67,0,49959089.9328
69,0,49959090.9824
72,0,49959092.0704
81,0,49959093.1456
84,0,49959094.1952
72,0,49959095.296
78,0,49959096.3328
74,0,49959097.3824
73,0,49959098.4704
67,0,49959099.5328
80,0,49959100.6336
82,0,49959101.6704
67,0,49959102.72
73,0,49959103.7824
78,0,49959104.832
67,0,49959105.9072
73,0,49959106.9952
82,0,49959108.0448
68,0,49959109.1072
75,0,49959110.1696
82,0,49959111.3088
66,0,49959112.3328
63,0,49959113.3568
75,0,49959114.4192
72,0,49959115.5328
70,0,49959116.5696
81,0,49959117.6704
71,0,49959118.72
64,0,49959119.744
74,0,49959120.832
66,0,49959121.92
71,0,49959122.9696
84,0,49959124.0192
62,0,49959125.0944
65,0,49959126.1696
82,0,49959127.2192
67,0,49959128.2816
69,0,49959129.344
73,0,49959130.4064
70,0,49959131.584
68,0,49959132.6592
73,0,49959133.632
77,0,49959134.8352
64,0,49959135.7568
68,0,49959136.8064
74,0,49959137.8816
67,0,49959138.9312
70,0,49959140.0064
77,0,49959141.0688
80,0,49959142.144
82,0,49959143.2192
65,0,49959144.5632
79,0,49959145.344
81,0,49959146.4064
64,0,49959147.4816
76,0,49959148.5952
76,0,49959149.632
65,0,49959150.6816
67,0,49959151.744
75,0,49959152.832
66,0,49959153.856
67,0,49959155.0208
80,0,49959155.9936
64,0,49959157.0688
