Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
598,4483,5358,60442332.3264,318
598,4483,5368,60442342.5536,319
598,4483,5378,60442351.6672,319
598,4483,5388,60442361.9072,320
598,4483,5398,60442372.1344,321
598,4483,5408,60442382.4768,321
598,4483,5419,60442392.5504,322
598,4483,5429,60442402.7648,323
598,4483,5439,60442413.0304,323
598,4483,5449,60442423.232,324
598,4483,5459,60442433.4208,324
598,4483,5469,60442442.5984,325
598,4483,5479,60442452.7872,326
598,4483,5489,60442463.0016,326
598,4483,5499,60442473.216,327
598,4483,5509,60442482.4704,327
598,4483,5519,60442492.7616,328
598,4483,5529,60442503.0016,329
598,4483,5539,60442513.1776,329
598,4483,5549,60442522.3168,330
598,4483,5559,60442532.5568,330
598,4483,5569,60442542.7712,331
598,4483,5579,60442552.96,332
598,4483,5590,60442563.1488,332
598,4483,5600,60442573.44,333
598,4483,5610,60442583.6416,333
598,4483,5620,60442593.8048,334
598,4483,5630,60442604.1856,335
598,4483,5640,60442613.248,335
598,4483,5650,60442623.424,336
598,4483,5660,60442633.7024,336
598,4483,5670,60442643.8528,337
598,4483,5680,60442653.0944,338
598,4483,5690,60442663.296,338
598,4483,5700,60442673.536,339
598,4483,5710,60442683.7888,339
598,4483,5720,60442692.928,340
598,4483,5730,60442703.1168,341
598,4483,5740,60442713.3824,341
598,4483,5750,60442723.9936,342
598,4483,5760,60442732.7104,342
598,4483,5770,60442742.9376,343
598,4483,5780,60442753.1776,344
598,4483,5790,60442763.3792,344
598,4483,5800,60442773.5808,345
598,4483,5810,60442782.848,345
598,4483,5820,60442793.0368,346
598,4483,5830,60442803.2768,347
598,4483,5840,60442813.5424,347
598,4483,5850,60442822.72,348
598,4483,5860,60442832.8832,348
598,4483,5870,60442843.072,349
598,4483,5880,60442853.312,350
598,4483,5890,60442862.4384,350
598,4483,5900,60442872.6528,351
598,4483,5910,60442882.88,351
598,4483,5920,60442893.0944,352
598,4483,5931,60442903.2704,353
598,4483,5941,60442913.5616,353
598,4483,5951,60442923.7888,354
598,4483,5961,60442933.9648,355
598,4483,5971,60442944.1536,355
598,4483,5981,60442953.4592,356
598,4483,5991,60442963.648,356
598,4483,6001,60442973.9904,357
598,4483,6011,60442984.1024,358
598,4483,6021,60442993.2544,358
598,4483,6031,60443003.4688,359
598,4483,6041,60443013.7216,359
598,4483,6051,60443023.9104,360
598,4483,6061,60443033.0624,361
598,4483,6071,60443043.264,361
598,4483,6081,60443053.4784,362
598,4483,6091,60443063.7184,362
598,4483,6102,60443073.9072,363
598,4483,6112,60443084.1216,364
598,4483,6122,60443094.3488,364
598,4483,6132,60443104.5248,365
598,4483,6142,60443114.8416,365
598,4483,6152,60443124.0192,366
598,4483,6162,60443134.272,367
598,4483,6172,60443144.4992,367
598,4483,6182,60443154.7264,368
598,4483,6192,60443163.9168,368
598,4483,6202,60443174.08,369
598,4483,6212,60443184.2944,370
598,4483,6222,60443194.4832,370
598,4483,6232,60443203.648,371
598,4483,6242,60443213.8368,371
598,4483,6252,60443224.0768,372
598,4483,6262,60443234.2656,373
598,4483,6272,60443243.584,373
598,4483,6282,60443253.7856,374
598,4483,6292,60443263.9744,374
598,4483,6302,60443274.304,375
598,4483,6312,60443284.3264,376
598,4483,6322,60443293.7216,376
598,4483,6332,60443303.8464,377
598,4483,6342,60443314.112,377
598,4483,6352,60443324.2368,378
598,4483,6362,60443333.4528,379
598,4483,6372,60443343.744,379
598,4483,6382,60443353.856,380
598,4483,6392,60443364.0704,380
598,4483,6402,60443373.2096,381
598,4483,6412,60443383.5136,382
598,4483,6422,60443393.6384,382
598,4483,6432,60443403.8912,383
598,4483,6443,60443414.0928,383
598,4483,6453,60443424.2944,384
598,4483,6463,60443434.5216,385
598,4483,6473,60443444.8384,385
598,4483,6483,60443454.976,386
598,4483,6493,60443464.2432,387
598,4483,6503,60443474.496,387
598,4483,6513,60443484.6976,388
598,4483,6523,60443494.848,388
598,4483,6533,60443504,389
598,4483,6543,60443514.24,390
598,4483,6553,60443524.48,390
598,4483,6563,60443534.656,391
598,4483,6573,60443543.8848,391
598,4483,6583,60443554.112,392
598,4483,6593,60443564.2624,393
598,4483,6603,60443574.4768,393
598,4483,6614,60443584.6784,394
598,4483,6624,60443594.9056,394
598,4483,6634,60443605.1584,395
